day;delta;algorithm;avg_M;max_M
2025-12-07;300;asp;195.61139261221575;817.9205836784306
2025-12-08;300;asp;481.9065376122885;1494.8563078026202
2025-12-09;300;asp;535.7471918196368;1396.4139780895778
2025-12-10;300;asp;560.6548871062134;1588.3736493494578
2025-12-11;300;asp;549.7503314924354;1365.6568163855045
2025-12-12;300;asp;494.4347303704124;1114.3714922938718
2025-12-13;300;asp;224.5685568806741;887.1930390464263
2025-12-14;300;asp;284.32248279545195;1781.797446679529
2025-12-15;300;asp;514.0517827128507;1654.450340444521
2025-12-16;300;asp;496.30435799583;1106.4671913610628
2025-12-17;300;asp;534.9247809444322;2685.6780762387807
2025-12-18;300;asp;462.6185377795303;1401.7342729282498
2025-12-19;300;asp;495.62347243580695;1298.5911514037057
2025-12-20;300;asp;195.86505926741125;927.844279317489
2025-12-21;300;asp;149.0300319548656;750.3374927563545
2025-12-22;300;asp;389.6675081026076;893.6107549469951
2025-12-23;300;asp;499.779009959179;1453.8631185570928
2025-12-24;300;asp;463.39127687568015;1724.7323260094481
2025-12-25;300;asp;252.28672013690402;765.6048545980111
2025-12-26;300;asp;379.9132673602002;990.2653877047857
2025-12-27;300;asp;244.69287189853912;1193.1557476432326
2025-12-28;300;asp;216.96167017590147;1341.6608872179497
2025-12-29;300;asp;544.157324923953;1354.7604179903783
2025-12-30;300;asp;576.4922159766047;2102.987179098272
2025-12-31;300;asp;585.5504114665448;2044.5182760681057
2025-12-01;900;ttv;66917.9227466728;138883.94158243237
2025-12-02;900;ttv;48683.267160613555;76364.27869686118
2025-12-03;900;ttv;72655.45553467484;104082.54647129623
2025-12-04;900;ttv;55252.85939206437;94678.46994949844
2025-12-05;900;ttv;57861.107545802224;115169.58882401201
2025-12-06;900;ttv;32303.642768369024;61032.9946382336
2025-12-07;900;ttv;18705.236690119473;48665.38268684838
2025-12-08;900;ttv;18928.444809431337;41333.52049820439
2025-12-09;900;ttv;22225.822816391934;71387.15183832169
2025-12-10;900;ttv;24859.838576139562;74896.576466704
2025-12-11;900;ttv;26471.482384195922;58763.695610857125
2025-12-12;900;ttv;26977.980005391095;65605.86122899904
2025-12-13;900;ttv;20738.517684715447;26681.107402892914
2025-12-14;900;ttv;28807.29413856465;73203.18342099387
2025-12-15;900;ttv;42514.76960549897;77126.93119500428
2025-12-16;900;ttv;36942.72989085672;68505.8484917321
2025-12-17;900;ttv;45056.28080787725;99782.11793026062
2025-12-18;900;ttv;43182.368780753444;96706.26604585712
2025-12-19;900;ttv;37489.5470405826;65515.8629249249
2025-12-20;900;ttv;16779.490956095317;22162.32640429951
2025-12-21;900;ttv;18628.64422286893;42917.93160793178
2025-12-22;900;ttv;29608.93176968409;50565.64607843962
2025-12-23;900;ttv;22324.966706445743;31393.864362881563
2025-12-24;900;ttv;23862.99842910161;32592.997373735314
2025-12-25;900;ttv;21007.865685066197;30284.813498588523
