delta;avg_M_USD
300;571.448606453917
600;962.8246211294173
900;1309.3623311050612
1200;1630.3145369546683
1500;1933.7506434656348
1800;2221.059728634835
2100;2489.7263567616815
2400;2750.073762432093
2700;3005.1427523848497
3000;3253.7892691657776
