day;delta;algorithm;avg_M;max_M
2025-01-01;8;ttv;40.730257104985846;1406.1032435668985
2025-01-02;8;ttv;52.65042479982232;1606.168597392259
2025-01-03;8;ttv;56.71883987188845;1402.7721367567044
2025-01-04;8;ttv;32.37751038871903;941.251798256447
2025-01-05;8;ttv;26.356181714780632;991.2074409581877
2025-01-06;8;ttv;57.64686794803827;1474.2154434781628
2025-01-07;8;ttv;66.1928107499656;1374.700806846605
2025-01-08;8;ttv;66.13386094480904;1401.5645904402345
2025-01-09;8;ttv;60.20418678944394;1391.37180896437
2025-01-10;8;ttv;64.03975348842962;1393.0437267074844
2025-01-11;8;ttv;32.033836674188414;1138.3672294352134
2025-01-12;8;ttv;30.53206939766505;922.1939630710169
2025-01-13;8;ttv;70.95180142450285;2183.446289511585
2025-01-14;8;ttv;52.763677775735076;1432.803268967981
2025-01-15;8;ttv;56.858229018187664;1362.0789514242695
2025-01-16;8;ttv;56.375711743409866;1396.8459373284697
2025-01-17;8;ttv;63.68099597439903;1449.430762081137
2025-01-18;8;ttv;64.51626463944883;5316.800889895498
2025-01-19;8;ttv;77.08255896478299;5863.00244983034
2025-01-20;8;ttv;84.5362049924745;1321.737778897446
2025-01-21;8;ttv;92.20863234436881;1257.27056502352
2025-01-22;8;ttv;60.963312823533016;1771.9794506576682
2025-01-23;8;ttv;76.60850485506595;1410.3097681922914
2025-01-24;8;ttv;66.51202262366598;1109.2781647286824
2025-01-25;8;ttv;32.6994424893019;805.9788428333982
2025-01-26;8;ttv;32.94324523184927;833.6578252110218
2025-01-27;8;ttv;77.52903661050514;1077.6525916670475
2025-01-28;8;ttv;54.990772282136454;821.5167373089214
2025-01-29;8;ttv;51.54670752722098;1039.6182381136216
2025-01-30;8;ttv;60.25848754405472;1059.8076458870833
2025-01-31;8;ttv;87.85196250744974;2722.5066447677477
2025-02-01;8;ttv;48.67145357355709;1580.6453006299614
2025-02-02;8;ttv;57.840458457026436;1044.089243863727
2025-02-03;8;ttv;138.58879867827935;1758.456512805153
2025-02-04;8;ttv;96.73998704290707;1658.3062759625152
2025-02-05;8;ttv;74.6827784924375;1404.1984193275853
2025-02-06;8;ttv;67.29561621400143;1401.3452049849564
2025-02-07;8;ttv;75.47401636827017;1005.1936804336725
2025-02-08;8;ttv;44.337013525355374;805.2694962021393
2025-02-09;8;ttv;42.13728272800566;1474.321287981426
2025-02-10;8;ttv;75.07798234953148;1698.5293812914786
2025-02-11;8;ttv;65.373465749085;1438.0589006908763
2025-02-12;8;ttv;71.50221632808555;1226.7116269867383
2025-02-13;8;ttv;65.6265863868844;2010.423255218037
2025-02-14;8;ttv;69.23960235846916;1703.1887036827252
2025-02-15;8;ttv;33.63912498500156;1545.6097567445931
2025-02-16;8;ttv;83.18689973358268;7552.461962453996
2025-02-17;8;ttv;43.18402187141839;557.4821841650573
2025-02-18;8;ttv;72.61710519378;1565.6375685330256
2025-02-19;8;ttv;68.84737627152664;6192.740107043753
2025-02-20;8;ttv;65.8172529252987;1576.0937416598167
2025-02-21;8;ttv;105.79973471214856;1862.1780942914934
2025-02-22;8;ttv;63.81946812095474;3051.100369972531
2025-02-23;8;ttv;51.12548044412158;1417.6538197494726
2025-02-24;8;ttv;89.34895740164701;1471.8087352311431
2025-02-25;8;ttv;129.3329968988717;2511.6375305085903
2025-02-26;8;ttv;99.33742966743914;2857.4596298866863
2025-02-27;8;ttv;79.99662962947785;2568.93262746997
