delta;avg_M_USD;linear_ref_M_USD
0;4.560354232751967;4.560354232751967
2;13.413511990149539;13.681062698255902
8;38.10167481064339;41.04318809476771
16;67.03791378466305;77.52602195678344
32;116.73932968966852;150.49168968081491
64;200.3651734597321;296.4230251288779
